"n1","n2","power","fdr"
3,3,0,0
3,4,0,0
3,3,0,0
3,4,0.00028,0
3,5,0.00084,0
3,6,0.00176,0
3,7,0.00152,0
3,8,0.001,0
3,9,0.00164,0.0025
5,5,0.40172,0.0167588103956007
5,6,0.44824,0.0252835118735678
5,7,0.47284,0.0329677534415682
5,8,0.48016,0.0359084756526304
5,9,0.49404,0.0434699508159064
5,10,0.49788,0.04554805119586
5,11,0.50148,0.051035571750584
7,7,0.60444,0.0356625684664043
7,8,0.61992,0.0425454547122789
7,9,0.62208,0.0460500717601392
7,10,0.637,0.053955498956855
7,11,0.64264,0.0559509986310809
7,12,0.64612,0.0571271499159442
7,13,0.64516,0.055529445492812
