"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch","B_F","Pooled_t"
"1",1,0,0.664,0.692,0,0.626,0.548,0.666
"2",2,0,0.65,0.666,0,0.638,0.568,0.65
"3",3,0,0.618,0.656,0,0.6,0.542,0.618
"4",4,0,0.614,0.63,0,0.594,0.522,0.614
"5",5,0,0.68,0.696,0,0.654,0.586,0.68
"6",6,0,0.674,0.678,0,0.638,0.586,0.674
"7",7,0,0.688,0.708,0,0.664,0.58,0.694
"8",8,0,0.646,0.674,0,0.62,0.55,0.648
"9",9,0,0.65,0.688,0,0.626,0.562,0.65
"10",10,0,0.668,0.69,0,0.634,0.538,0.668
"11",11,0,0.638,0.682,0,0.634,0.58,0.638
"12",12,0,0.612,0.652,0,0.608,0.548,0.612
"13",13,0,0.656,0.686,0,0.622,0.536,0.656
"14",14,0,0.652,0.666,0,0.622,0.576,0.652
"15",15,0,0.65,0.662,0,0.634,0.562,0.65
"16",16,0,0.66,0.692,0,0.626,0.552,0.66
"17",17,0,0.636,0.672,0,0.606,0.57,0.636
"18",18,0,0.66,0.672,0,0.626,0.568,0.66
"19",19,0,0.644,0.656,0,0.628,0.554,0.644
"20",20,0,0.664,0.686,0,0.638,0.584,0.664
"21",21,0,0.71,0.75,0,0.682,0.612,0.71
"22",22,0,0.646,0.668,0,0.616,0.552,0.646
"23",23,0,0.64,0.668,0,0.618,0.564,0.64
"24",24,0,0.66,0.678,0,0.64,0.586,0.66
"25",25,0,0.64,0.666,0,0.618,0.536,0.64
"26",26,0,0.66,0.69,0,0.644,0.57,0.66
"27",27,0,0.696,0.72,0,0.666,0.62,0.696
"28",28,0,0.646,0.672,0,0.61,0.552,0.644
"29",29,0,0.662,0.684,0,0.648,0.592,0.662
"30",30,0,0.664,0.69,0,0.646,0.58,0.664
"31",31,0,0.686,0.708,0,0.65,0.574,0.684
"32",32,0,0.642,0.67,0,0.624,0.534,0.642
"33",33,0,0.632,0.664,0,0.598,0.568,0.632
"34",34,0,0.626,0.644,0,0.61,0.572,0.626
"35",35,0,0.63,0.658,0,0.612,0.56,0.63
"36",36,0,0.64,0.68,0,0.616,0.538,0.642
"37",37,0,0.608,0.646,0,0.606,0.546,0.608
"38",38,0,0.63,0.672,0,0.608,0.534,0.63
"39",39,0,0.608,0.62,0,0.568,0.534,0.608
"40",40,0,0.684,0.706,0,0.65,0.586,0.684
"41",41,0,0.642,0.664,0,0.614,0.542,0.638
"42",42,0,0.626,0.654,0,0.61,0.544,0.628
"43",43,0,0.64,0.676,0,0.618,0.572,0.64
"44",44,0,0.636,0.648,0,0.612,0.558,0.64
"45",45,0,0.652,0.668,0,0.654,0.576,0.652
"46",46,0,0.65,0.69,0,0.61,0.552,0.65
"47",47,0,0.666,0.682,0,0.618,0.562,0.668
"48",48,0,0.644,0.668,0,0.618,0.564,0.644
"49",49,0,0.642,0.658,0,0.634,0.546,0.642
"50",50,0,0.684,0.696,0,0.654,0.592,0.682
